Product Name,Category,Actual Price (BDT),Sale Price (BDT)
Gawa Ghee 1kg,Ghee,1800,1710
Gawa Ghee 500g,Ghee,900,855
Gawa Ghee 400g,Ghee,720,680
Gawa Ghee 250g,Ghee,450,425
Gawa Ghee 200g,Ghee,360,340
Deshi Mustard Oil 5L,Oil,1550,1470
Sundarban Honey 1kg,Honey,2500,2200
Sundarban Honey 500g,Honey,1250,1100
African Organic Wild Honey 1kg,Honey,2500,2375
African Organic Wild Honey 500g,Honey,1250,1185
African Organic Wild Honey 250g,Honey,625,590
Crystal Honey 1kg,Honey,1100,1000
Lichu Flower Honey 1kg,Honey,1200,1140
Lichu Flower Honey 500g,Honey,600,570
Honey Nuts 800g,Nuts & Honey,1500,1425
Natural Honeycomb 1kg,Honey,2500,2250
Natural Wild Honeycomb 1300g,Honey,3900,3510
Honey Special Combo Pack,Honey,1950,1600
Ghorerbazar Monthly Pack‑1,Combo Pack,4435,4210
